model,target,threshold,variant,n_actual_events,n_pred_alerts,TP,FP,FN,precision,recall,mean_lead_min
BiLSTM,co2,1000.0,with_Ct,1,1,1,0,0,1.0,1.0,12.0
BiLSTM,co2,1000.0,without_Ct,1,1,1,0,0,1.0,1.0,12.0
BiLSTM,pm2_5,35.0,with_Ct,4,4,3,1,1,0.75,0.75,11.0
BiLSTM,pm2_5,35.0,without_Ct,4,2,2,0,2,1.0,0.5,27.5
BiLSTM,voc,100.0,with_Ct,6,3,3,0,3,1.0,0.5,10.3333
BiLSTM,voc,100.0,without_Ct,6,3,2,1,4,0.6667,0.3333,7.5
Seq2Seq,co2,1000.0,with_Ct,1,2,1,1,0,0.5,1.0,12.0
Seq2Seq,co2,1000.0,without_Ct,1,1,1,0,0,1.0,1.0,12.0
Seq2Seq,pm2_5,35.0,with_Ct,4,4,3,1,1,0.75,0.75,17.3333
Seq2Seq,pm2_5,35.0,without_Ct,4,3,2,1,2,0.6667,0.5,19.5
Seq2Seq,voc,100.0,with_Ct,6,4,2,2,4,0.5,0.3333,11.0
Seq2Seq,voc,100.0,without_Ct,6,5,2,3,4,0.4,0.3333,20.0
GRU,co2,1000.0,with_Ct,1,1,1,0,0,1.0,1.0,12.0
GRU,co2,1000.0,without_Ct,1,1,1,0,0,1.0,1.0,12.0
GRU,pm2_5,35.0,with_Ct,4,2,2,0,2,1.0,0.5,15.0
GRU,pm2_5,35.0,without_Ct,4,3,3,0,1,1.0,0.75,15.6667
GRU,voc,100.0,with_Ct,6,3,3,0,3,1.0,0.5,8.0
GRU,voc,100.0,without_Ct,6,4,3,1,3,0.75,0.5,15.3333
LSTM_uni,co2,1000.0,with_Ct,1,1,1,0,0,1.0,1.0,12.0
LSTM_uni,co2,1000.0,without_Ct,1,1,1,0,0,1.0,1.0,12.0
LSTM_uni,pm2_5,35.0,with_Ct,4,8,4,4,0,0.5,1.0,17.75
LSTM_uni,pm2_5,35.0,without_Ct,4,3,1,2,3,0.3333,0.25,30.0
LSTM_uni,voc,100.0,with_Ct,6,9,6,3,0,0.6667,1.0,17.6667
LSTM_uni,voc,100.0,without_Ct,6,5,2,3,4,0.4,0.3333,9.0
VanillaRNN,co2,1000.0,with_Ct,1,1,1,0,0,1.0,1.0,12.0
VanillaRNN,co2,1000.0,without_Ct,1,1,1,0,0,1.0,1.0,12.0
VanillaRNN,pm2_5,35.0,with_Ct,4,15,4,11,0,0.2667,1.0,20.5
VanillaRNN,pm2_5,35.0,without_Ct,4,10,3,7,1,0.3,0.75,16.0
VanillaRNN,voc,100.0,with_Ct,6,22,5,17,1,0.2273,0.8333,20.2
VanillaRNN,voc,100.0,without_Ct,6,15,3,12,3,0.2,0.5,26.0
CNN_LSTM,co2,1000.0,with_Ct,1,1,1,0,0,1.0,1.0,12.0
CNN_LSTM,co2,1000.0,without_Ct,1,1,1,0,0,1.0,1.0,12.0
CNN_LSTM,pm2_5,35.0,with_Ct,4,1,1,0,3,1.0,0.25,4.0
CNN_LSTM,pm2_5,35.0,without_Ct,4,1,0,1,4,0.0,0.0,
CNN_LSTM,voc,100.0,with_Ct,6,1,0,1,6,0.0,0.0,
CNN_LSTM,voc,100.0,without_Ct,6,3,2,1,4,0.6667,0.3333,7.5
BiGRU,co2,1000.0,with_Ct,1,1,1,0,0,1.0,1.0,12.0
BiGRU,co2,1000.0,without_Ct,1,1,1,0,0,1.0,1.0,12.0
BiGRU,pm2_5,35.0,with_Ct,4,1,1,0,3,1.0,0.25,25.0
BiGRU,pm2_5,35.0,without_Ct,4,4,4,0,0,1.0,1.0,15.0
BiGRU,voc,100.0,with_Ct,6,3,2,1,4,0.6667,0.3333,13.5
BiGRU,voc,100.0,without_Ct,6,2,2,0,4,1.0,0.3333,2.0
